"screen","engine","variant","screenshot","gap","error","ACCESS-008","TOUCH-003","INPUT-010","INPUT-006 / ACCESS-003","ACTION-007 / ACTION-008","LAYOUT-013 / LAYOUT-014","DATA-003/004 · LAYOUT-003","FEEDBACK-011"
"S-19","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-19.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","390x844-light","screenshots/chromium/390x844-light/S-20.png","","","U","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-20.png","","","U","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","844x390-light","screenshots/chromium/844x390-light/S-20.png","","","U","PASS","PASS","PASS","NA","FAIL","NA","NA"
"S-20","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-20.png","","","U","PASS","PASS","PASS","NA","FAIL","NA","NA"
"S-20","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-20.png","","","U","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-20.png","","","U","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-20.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-20","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-20.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-21","chromium","390x844-light","screenshots/chromium/390x844-light/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-21","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-21","chromium","844x390-light","screenshots/chromium/844x390-light/S-21.png","","","PASS","NA","NA","NA","NA","FAIL","NA","NA"
"S-21","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-21.png","","","PASS","NA","NA","NA","NA","FAIL","NA","NA"
"S-21","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-21","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-21","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-21","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-21.png","","","PASS","NA","NA","NA","NA","PASS","NA","NA"
"S-22","chromium","390x844-light","screenshots/chromium/390x844-light/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-22","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-22","chromium","844x390-light","screenshots/chromium/844x390-light/S-22.png","","","U","PASS","PASS","FAIL","FAIL","FAIL","NA","NA"
"S-22","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-22.png","","","U","PASS","PASS","FAIL","FAIL","FAIL","NA","NA"
"S-22","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-22","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-22","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-22","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-22.png","","","PASS","PASS","PASS","FAIL","FAIL","PASS","NA","NA"
"S-23","chromium","390x844-light","screenshots/chromium/390x844-light/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","844x390-light","screenshots/chromium/844x390-light/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-23","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-23.png","Native delete confirmation requires Delete; excluded from allowed navigation.","","U","U","U","U","U","U","U","U"
"S-24","chromium","390x844-light","screenshots/chromium/390x844-light/S-24.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-24","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-24.png","","","PASS","PASS","PASS","PASS","NA","PASS","NA","NA"
"S-24","chromium","844x390-light","screenshots/chromium/844x390-light/S-24.png","","","PASS","PASS","PASS","PASS","NA","FAIL","NA","NA"
